id;ci;first_name;last_name;gender;birthdate;address;phone;responsable
57;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
58;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
59;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
60;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
61;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
62;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
63;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
64;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
65;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
66;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
67;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
68;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
69;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
70;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
71;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
72;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
73;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
74;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
75;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
76;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
77;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
78;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
79;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
80;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
81;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
82;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
83;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
84;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
85;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
86;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
87;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
88;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
89;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
90;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
91;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
92;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
93;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
94;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
95;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
96;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
97;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
98;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
99;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
100;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
